age,gender,marital_status,education_level,annual_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,loan_term,num_of_open_accounts,total_credit_limit,delinquency_history,loan_paid_back
59,Male,Married,Master's,24240.19,Employed,0.074,743,17173.72,Car,36,7,40833.47,1,1
72,Female,Married,Bachelor's,20172.98,Employed,0.219,531,22663.89,Debt consolidation,60,5,27968.01,1,1
49,Female,Single,High School,26181.8,Employed,0.234,779,3631.36,Business,60,2,15502.25,0,1
35,Female,Single,High School,11873.84,Employed,0.264,809,14939.23,Other,36,7,18157.79,4,1
63,Other,Single,Other,25326.44,Employed,0.26,663,16551.71,Car,60,1,17467.56,2,1
28,Male,Single,High School,55559.8,Employed,0.081,774,12724.02,Debt consolidation,60,3,76147.61,0,1
41,Male,Single,Bachelor's,24642.88,Unemployed,0.165,742,5905.27,Car,36,6,18380.15,3,0
59,Female,Single,Bachelor's,52610.69,Employed,0.135,810,15136.35,Debt consolidation,36,4,75260.33,0,1
39,Other,Single,High School,62922.05,Employed,0.074,724,500,Home,36,6,42759.4,3,1
43,Female,Single,High School,53439.89,Employed,0.375,796,14712.38,Car,36,4,40629.06,2,0
31,Female,Married,High School,37067.58,Self-employed,0.166,722,24847.59,Car,36,3,31600.7,1,1
31,Female,Married,Bachelor's,73500.9,Employed,0.17,687,500,Business,36,6,77679.01,1,1
44,Male,Single,Master's,71284.88,Employed,0.313,738,16352.99,Debt consolidation,36,2,57020.85,0,1
73,Female,Married,Bachelor's,23763.07,Employed,0.272,637,18191.26,Home,36,5,28673.92,4,1
56,Female,Divorced,Bachelor's,21597.98,Employed,0.153,764,14908.25,Medical,36,8,30287.45,0,1
60,Female,Married,Bachelor's,27877.04,Student,0.269,618,15819.7,Business,36,4,36113.16,6,0
44,Male,Widowed,Master's,30137.96,Employed,0.059,720,10886.6,Home,36,1,39076.27,1,1
23,Male,Single,Bachelor's,73356.57,Employed,0.092,589,28579.38,Debt consolidation,60,5,102355.5,4,1
42,Male,Married,High School,58633.23,Employed,0.21,578,16116.67,Medical,60,4,86242.85,5,1
73,Male,Married,Bachelor's,39383.19,Employed,0.229,732,19078.95,Debt consolidation,60,3,30102.24,2,1
22,Female,Single,Master's,40245.27,Employed,0.113,564,9831.78,Debt consolidation,36,2,56819.25,1,0
44,Male,Widowed,Master's,18875.14,Employed,0.158,694,9607.62,Car,36,5,25809.11,4,1
64,Male,Divorced,PhD,70246.14,Employed,0.1,440,8853.43,Debt consolidation,36,4,79490.56,4,1
50,Male,Single,High School,40422.15,Employed,0.067,753,19415.58,Debt consolidation,36,6,65806.15,2,1
58,Female,Divorced,Other,19364.05,Self-employed,0.14,619,18128.74,Education,36,8,25883.17,4,1
22,Female,Single,High School,13220.54,Self-employed,0.122,709,9692.3,Debt consolidation,36,6,23805.97,2,1
41,Male,Married,High School,16936.71,Employed,0.425,705,18627.46,Other,36,3,25978.62,1,1
53,Male,Single,Bachelor's,37957.37,Employed,0.135,739,9656.48,Car,36,4,46657.36,2,1
32,Male,Single,High School,7884.14,Employed,0.222,692,5772.28,Business,36,9,18319.12,0,1
42,Female,Married,Bachelor's,18014.35,Employed,0.212,702,11345.92,Home,60,5,30467.37,0,1
64,Male,Single,PhD,48453.69,Employed,0.195,610,5285.92,Business,60,1,32166.14,5,1
45,Female,Single,Other,27944.46,Self-employed,0.132,553,6268.32,Debt consolidation,36,3,40793.67,2,0
69,Male,Single,Bachelor's,12516.84,Employed,0.562,818,10469.04,Debt consolidation,36,6,20412.01,3,1
47,Male,Single,Bachelor's,24864.78,Employed,0.111,629,6321.47,Debt consolidation,36,5,23358.63,4,1
62,Female,Married,Other,34248.84,Employed,0.09,685,10673.12,Debt consolidation,36,7,45509.72,0,0
48,Male,Single,Bachelor's,63805.67,Employed,0.199,657,22298.23,Other,36,7,61717.59,4,1
36,Female,Married,Other,47699.49,Unemployed,0.218,806,23171.53,Debt consolidation,36,5,75385.65,3,0
35,Male,Single,PhD,46684.56,Employed,0.101,717,13275.22,Debt consolidation,36,6,36244.87,0,1
67,Female,Single,High School,55926.72,Self-employed,0.088,727,20613.2,Debt consolidation,60,4,77521.8,0,1
71,Female,Single,High School,13295.77,Employed,0.117,623,13225.93,Car,36,4,12599.76,3,1
64,Female,Married,Bachelor's,76626.81,Employed,0.154,750,8606.43,Business,36,8,115966.9,3,1
75,Male,Single,Master's,76748.44,Retired,0.163,759,2284.88,Debt consolidation,36,5,116481.63,1,1
72,Male,Married,Master's,25153.1,Self-employed,0.04,719,17789.74,Medical,36,5,40551.35,2,1
23,Male,Single,Bachelor's,6018.9,Unemployed,0.104,602,26387.55,Debt consolidation,36,5,9863.04,0,0
57,Female,Married,High School,80634.33,Self-employed,0.241,693,22884.38,Medical,60,4,76328.19,5,1
71,Female,Single,High School,6969.14,Employed,0.206,727,23939.96,Car,60,4,8478.63,4,1
27,Male,Married,Other,45571.44,Employed,0.143,714,8316.32,Debt consolidation,60,5,70307.77,0,1
41,Male,Single,Bachelor's,27707.6,Employed,0.069,673,10351.45,Debt consolidation,36,8,35407.59,2,1
29,Female,Single,Bachelor's,25314.19,Employed,0.107,608,21421.74,Debt consolidation,60,4,24710.54,1,1
59,Male,Single,PhD,28021.38,Employed,0.183,697,10606.79,Other,36,7,33526.47,3,0
38,Male,Single,Master's,39324.09,Employed,0.171,593,15284.49,Debt consolidation,36,7,46987.9,3,1
24,Male,Married,Bachelor's,10032.47,Employed,0.098,643,19958.98,Education,60,10,15232.58,2,1
45,Female,Widowed,Bachelor's,32388.96,Unemployed,0.44,598,18787.69,Debt consolidation,36,6,40836.89,4,0
34,Female,Single,Master's,15417.43,Employed,0.09,665,500,Other,36,7,26456.98,4,1
70,Other,Married,Bachelor's,26839.94,Employed,0.039,658,33869,Other,36,4,38585.5,2,1
29,Male,Single,Bachelor's,40020.77,Employed,0.073,655,23131.95,Home,60,5,48608.42,1,1
46,Female,Single,High School,61428.94,Unemployed,0.294,580,2855.15,Medical,36,5,40047.57,3,0
73,Female,Single,Master's,23364.87,Employed,0.098,785,19723.17,Business,60,3,17727.96,2,1
22,Male,Married,Other,106317.95,Employed,0.106,648,9020.84,Debt consolidation,36,6,90450.17,1,1
40,Female,Single,Other,21245.26,Self-employed,0.358,652,17952.71,Business,36,8,30292.09,6,1
48,Male,Married,Bachelor's,21576.38,Employed,0.147,587,22296.51,Education,36,4,19484.61,2,1
67,Male,Single,Bachelor's,67313.56,Employed,0.097,605,5207.8,Vacation,60,7,83247.84,2,1
27,Male,Single,High School,31299.21,Retired,0.221,707,13459.01,Debt consolidation,36,6,50804.49,1,1
64,Male,Single,Bachelor's,40464.81,Unemployed,0.165,791,22931.8,Other,36,7,50221.45,0,1
28,Female,Single,Bachelor's,27080.78,Employed,0.094,708,41679.04,Business,60,2,34160.51,1,1
67,Male,Single,Master's,29019.47,Self-employed,0.319,682,12183.94,Car,36,3,45826.67,3,1
55,Male,Single,High School,44794.43,Employed,0.09,733,2044.83,Business,36,4,47189.73,1,1
34,Male,Single,Bachelor's,77862.02,Employed,0.052,662,6954.56,Debt consolidation,36,4,54523.53,2,1
37,Female,Married,Bachelor's,39502.26,Employed,0.291,667,27060.87,Vacation,36,7,55874.14,4,1
56,Female,Single,High School,46969.67,Employed,0.033,732,17320.78,Other,36,3,34070.61,1,1
70,Female,Married,High School,65446.1,Employed,0.057,665,15303.67,Car,36,3,60655.76,3,1
60,Female,Single,Bachelor's,27471.78,Self-employed,0.075,798,30714.91,Home,36,6,42637.75,3,1
24,Male,Married,Bachelor's,20180.13,Employed,0.354,646,10419.48,Debt consolidation,60,8,27728.17,3,1
22,Male,Single,Bachelor's,19642.89,Employed,0.085,645,20987.63,Debt consolidation,60,9,23777.34,3,1
26,Female,Single,Bachelor's,21341.14,Employed,0.254,594,9605.16,Other,36,9,27770.2,2,1
74,Male,Widowed,High School,19411.96,Employed,0.118,686,11636.29,Other,36,6,29245.95,0,1
62,Male,Single,High School,70252.63,Employed,0.293,816,14260.74,Medical,36,5,88552.78,2,1
24,Female,Married,High School,11724.35,Employed,0.272,796,4185.81,Home,36,4,12229.12,2,1
